cohort,par_ventile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
1980,1,1,Ivy Plus,6200,106300,.7001307829963742,.0969696938991547,.3333333432674408,.4424242377281189,.5757575631141663,.1212121248245239,.0666666701436043,.0787878781557083,.1575757563114166,.1515151560306549,.581818163394928,68100,83800,165,17653,.0093468532260806
1980,1,2,Other elite schools (public and private),6500,71800,.6709637706644872,.0500000007450581,.2166666686534882,.3242424130439758,.489393949508667,.1772727221250534,.0924242436885834,.1075757592916489,.1333333402872086,.1242424249649048,.4939393997192383,56600,64600,660,60703,.0108726092614863
1980,1,3,Highly selective public,7000,63600,.6499802748992098,.0326704531908035,.1583806872367859,.2677556872367859,.4332386255264282,.1974431872367859,.1328125,.1186079531908035,.1178977265954018,.1115056797862053,.4857954680919647,49300,55900,1408,126735,.0111097960310885
1980,1,4,Highly selective private,6800,60300,.6258011387361918,.0283018872141838,.1179245263338089,.2334905713796616,.3985849022865295,.2075471729040146,.1320754736661911,.1202830225229263,.1415094286203384,.1367924511432648,.4787735939025879,48300,53700,424,42920,.009878844361603
1980,1,5,Selective public,7200,41300,.5557790292759898,.0078981602564454,.0528712123632431,.1138264238834381,.2428916543722153,.2395465523004532,.2089760303497315,.1732949316501617,.1352908313274384,.1248838528990746,.4366288781166077,35100,39700,10762,616241,.0174639467351247
1980,1,6,Selective private,7000,43900,.5678048455223095,.0102632753551006,.068273089826107,.1365461796522141,.2735385894775391,.2329317331314087,.184292733669281,.1664435565471649,.1427934020757675,.1334225833415985,.4636323153972626,36900,42200,2241,149238,.0150162827161983
1980,1,7,Nonselective four-year public,7500,30600,.4816189174194072,.0007479431806132,.020568436011672,.0628272220492363,.1458489149808884,.2060583382844925,.2385938614606857,.2326103150844574,.1768885552883148,.1600598394870758,.3713537752628326,25500,31300,2674,77371,.0345607527368135
1980,1,8,Nonselective four-year private not-for-profit,7000,28900,.4485662281434311,.0085653103888035,.0278372596949339,.0578158460557461,.1477515995502472,.1584582477807999,.2184154242277145,.2526766657829285,.2226980775594711,.201284795999527,.4089935719966888,19900,28800,467,17937,.0260355689357195
1980,1,9,Two-year (public and private not-for-profit),7200,27700,.4501105610282588,.00216482905671,.0172179434448481,.0452096872031689,.1192166358232498,.1847153007984161,.2385843098163605,.254946380853653,.2025373876094818,.1861249506473541,.3481347262859345,21800,28400,19863,614500,.0323238405207486
1980,1,10,Four-year for-profit,7300,28800,.4653869472494577,.0020732549019158,.0200414657592773,.0539046302437782,.1264685541391373,.1948859691619873,.2453351765871048,.2605390548706055,.1727712452411652,.1568762958049774,.2819626927375794,23500,29500,1447,32980,.0438750758035173
1980,1,11,Two-year for-profit,7400,29600,.4672983860880413,.0017730495892465,.0248226951807737,.060283686965704,.1276595741510391,.1879432648420334,.2695035338401794,.228723406791687,.1861702054738998,.1719858199357987,.292553186416626,25200,30500,564,10584,.0532879818594104
1980,1,12,Less than two-year schools of any type,7500,18200,.3624980360153563,0,0,0,.0538922138512135,.0958083868026733,.257485032081604,.3532934188842773,.2395209521055222,.2215568870306015,.2754490971565247,14400,20100,167,2906,.0574673090158293
1980,1,13,Attending college with insufficient data,7200,26200,.4380443352690607,.0017641545273364,.0175864156335592,.0417332835495472,.1038094684481621,.1650587171316147,.249903529882431,.2892110943794251,.1920171976089478,.175092339515686,.3103809356689453,20100,25700,18139,393575,.0460877850473226
1980,1,14,Not in college between the ages of 19-22,7000,14000,.3017820631247395,.0004709387887083,.0042127614918967,.0120817208928339,.035029284467021,.0800852827417364,.1679624583627397,.3135167861993184,.4034061620549277,.3772562135351755,.1992242333864265,6100,17000,116788,1352057,.0863780151280604
1980,2,1,Ivy Plus,13800,108400,.740236508884717,.1266666650772095,.3866666555404663,.5066666603088379,.653333306312561,.0799999982118607,.0599999986588955,.0666666701436043,.1400000005960465,.1333333402872086,.4933333396911621,81600,91700,150,17653,.0084971392964369
1980,2,2,Other elite schools (public and private),13800,81700,.6847658895811384,.071856290102005,.2335329353809357,.3428143858909607,.4955089688301086,.1901197582483292,.1002994030714035,.1062874272465706,.1077844277024269,.1047904193401337,.470059871673584,56600,65900,668,60703,.0110043984646558
1980,2,3,Highly selective public,13900,59000,.6386929377772823,.033063005656004,.1403618156909943,.2439176589250565,.3986275792121887,.2227074205875397,.135995015501976,.1203992515802383,.1222707405686379,.1166562661528587,.5302557945251465,46900,53000,1603,126735,.0126484396575532
1980,2,4,Highly selective private,13800,60700,.6663973839467968,.016908211633563,.1594202965497971,.2536231875419617,.4710144996643066,.1811594218015671,.1352656930685043,.0966183543205261,.1159420311450958,.1038647368550301,.5,54300,61400,414,42920,.009645852749301
1980,2,5,Selective public,13900,40200,.5552897918219889,.006201044190675,.0468342043459415,.1088446453213692,.2311520874500275,.2531821131706238,.2138544321060181,.1655515730381012,.1362597942352295,.126142293214798,.4476175010204315,35200,39400,12256,616241,.0198883229126267
1980,2,6,Selective private,13900,44500,.5757859225481034,.0084541058167815,.0660225450992584,.1400966197252274,.2801932394504547,.2411433160305023,.1904186755418778,.1481481492519379,.1400966197252274,.1312399357557297,.4879226982593536,38000,43300,2484,149238,.016644554336027
1980,2,7,Nonselective four-year public,13900,30800,.4854636236048092,.0023384974338114,.0198772288858891,.0537854433059692,.1321251094341278,.2171879559755325,.260450154542923,.2344343811273575,.1558023989200592,.1455714702606201,.3791289031505585,26500,31100,3421,77371,.0442155329516227
